村里代碼,村里,選舉人,里長政黨,投票所數量,平均
10007130-005,彰化縣大村鄉新興村,1103,無,1,1103
10007130-014,彰化縣大村鄉擺塘村,2418,無,2,1209
10007130-006,彰化縣大村鄉過溝村,2500,無,2,1250
10007130-011,彰化縣大村鄉村上村,1336,無,1,1336
10007130-007,彰化縣大村鄉美港村,2924,無,3,975
10007130-015,彰化縣大村鄉黃厝村,2079,無,2,1040
10007130-016,彰化縣大村鄉福興村,1981,無,2,991
10007130-008,彰化縣大村鄉平和村,2446,無,2,1223
10007140-001,彰化縣埔鹽鄉埔鹽村,1630,無,2,815
10007140-002,彰化縣埔鹽鄉埔南村,1495,無,2,748
10007140-003,彰化縣埔鹽鄉廍子村,1226,無,1,1226
10007140-004,彰化縣埔鹽鄉出水村,875,無,1,875
10007140-005,彰化縣埔鹽鄉南港村,1644,無,2,822
10007140-006,彰化縣埔鹽鄉打廉村,914,無,1,914
10007140-007,彰化縣埔鹽鄉豐澤村,1291,無,1,1291
10007140-008,彰化縣埔鹽鄉崑崙村,1080,無,1,1080
10007140-009,彰化縣埔鹽鄉角樹村,683,無,1,683
10007140-010,彰化縣埔鹽鄉瓦磘村,1180,無,1,1180
10007140-011,彰化縣埔鹽鄉好修村,1666,無,2,833
10007140-012,彰化縣埔鹽鄉西湖村,2002,無,2,1001
10007140-013,彰化縣埔鹽鄉大有村,1190,無,1,1190
10007140-014,彰化縣埔鹽鄉新興村,386,無,1,386
10007140-015,彰化縣埔鹽鄉永平村,1069,無,1,1069
10007140-016,彰化縣埔鹽鄉永樂村,834,無,1,834
10007140-017,彰化縣埔鹽鄉石埤村,1375,無,1,1375
10007140-018,彰化縣埔鹽鄉天盛村,844,無,1,844
10007140-019,彰化縣埔鹽鄉太平村,1498,無,2,749
10007140-020,彰化縣埔鹽鄉新水村,1446,中國國民黨,2,723
10007140-021,彰化縣埔鹽鄉三省村,1335,無,1,1335
10007140-022,彰化縣埔鹽鄉南新村,1256,無,1,1256
10007150-001,彰化縣埔心鄉東門村,3374,無,3,1125
10007150-002,彰化縣埔心鄉埔心村,1227,無,1,1227
10007150-003,彰化縣埔心鄉義民村,1535,無,2,768
10007150-004,彰化縣埔心鄉油車村,1213,無,1,1213
10007150-005,彰化縣埔心鄉瓦北村,1650,無,2,825
10007150-006,彰化縣埔心鄉瓦中村,1861,無,2,931
10007150-007,彰化縣埔心鄉瓦南村,1412,無,2,706
10007150-009,彰化縣埔心鄉經口村,2214,無,2,1107
10007150-008,彰化縣埔心鄉太平村,1955,無,2,978
10007150-010,彰化縣埔心鄉大華村,566,無,1,566
10007150-011,彰化縣埔心鄉仁里村,1139,無,1,1139
10007150-012,彰化縣埔心鄉舊舘村,1455,無,2,728
10007150-013,彰化縣埔心鄉南舘村,982,無,1,982
10007150-014,彰化縣埔心鄉新舘村,878,無,1,878
10007150-016,彰化縣埔心鄉芎蕉村,1771,無,2,886
10007150-015,彰化縣埔心鄉羅厝村,1331,無,2,666
10007150-018,彰化縣埔心鄉梧鳳村,864,無,1,864
10007150-017,彰化縣埔心鄉二重村,1293,無,1,1293
10007150-019,彰化縣埔心鄉埤霞村,767,無,1,767
10007150-020,彰化縣埔心鄉埤脚村,908,無,1,908
10007160-011,彰化縣永靖鄉浮圳村,1187,無,1,1187
10007160-013,彰化縣永靖鄉東寧村,1833,無,2,917
10007160-012,彰化縣永靖鄉光雲村,1594,無,2,797
10007160-010,彰化縣永靖鄉五汴村,1382,無,2,691
10007160-014,彰化縣永靖鄉永興村,1543,無,2,772
10007160-015,彰化縣永靖鄉崙子村,1364,無,1,1364
10007160-001,彰化縣永靖鄉永東村,771,無,1,771
10007160-002,彰化縣永靖鄉永西村,1488,中國國民黨,2,744
10007160-003,彰化縣永靖鄉永南村,1884,無,2,942
10007160-004,彰化縣永靖鄉永北村,2016,無,2,1008
10007160-005,彰化縣永靖鄉港西村,1723,中國國民黨,2,862
10007160-006,彰化縣永靖鄉五福村,1414,無,2,707
10007160-007,彰化縣永靖鄉湳港村,1011,無,1,1011
10007160-008,彰化縣永靖鄉新莊村,980,無,1,980
10007160-009,彰化縣永靖鄉瑚璉村,2495,無,2,1248
10007160-016,彰化縣永靖鄉獨鰲村,844,無,1,844
10007160-017,彰化縣永靖鄉敦厚村,688,無,1,688
10007160-018,彰化縣永靖鄉崙美村,762,無,1,762
10007160-019,彰化縣永靖鄉同安村,657,無,1,657
10007160-020,彰化縣永靖鄉同仁村,848,無,1,848
10007160-021,彰化縣永靖鄉湳墘村,826,無,1,826
10007160-022,彰化縣永靖鄉四芳村,657,無,1,657
10007160-023,彰化縣永靖鄉福興村,1093,無,1,1093
10007160-024,彰化縣永靖鄉竹子村,1350,無,1,1350
10007170-001,彰化縣社頭鄉社頭村,2700,無,3,900
10007170-004,彰化縣社頭鄉廣興村,4322,無,4,1081
10007170-002,彰化縣社頭鄉東興村,1418,無,2,709
10007170-022,彰化縣社頭鄉松竹村,1030,中國國民黨,1,1030
10007170-019,彰化縣社頭鄉舊社村,1524,無,2,762
10007170-005,彰化縣社頭鄉廣福村,904,無,1,904
10007170-008,彰化縣社頭鄉橋頭村,1954,無,2,977
10007170-014,彰化縣社頭鄉新厝村,1400,無,2,700
10007170-017,彰化縣社頭鄉張厝村,1226,無,1,1226
10007170-011,彰化縣社頭鄉湳底村,1556,無,2,778
10007170-007,彰化縣社頭鄉仁雅村,2614,無,3,871
10007170-016,彰化縣社頭鄉里仁村,959,無,1,959
10007170-013,彰化縣社頭鄉美雅村,1168,無,1,1168
10007170-010,彰化縣社頭鄉崙雅村,879,無,1,879
10007170-023,彰化縣社頭鄉清水村,1183,無,1,1183
10007170-003,彰化縣社頭鄉山湖村,1143,無,1,1143
10007170-020,彰化縣社頭鄉埤斗村,983,無,1,983
10007170-009,彰化縣社頭鄉仁和村,695,無,2,348
10007170-015,彰化縣社頭鄉平和村,967,無,1,967
10007170-024,彰化縣社頭鄉協和村,2093,無,2,1047
10007170-006,彰化縣社頭鄉朝興村,1047,無,1,1047
10007170-018,彰化縣社頭鄉龍井村,831,無,1,831
10007170-021,彰化縣社頭鄉湳雅村,1427,無,2,714
10007180-016,彰化縣二水鄉復興村,1011,無,1,1011
10007180-017,彰化縣二水鄉十五村,686,無,1,686
10007180-001,彰化縣二水鄉合和村,832,無,1,832
10007180-002,彰化縣二水鄉上豊村,964,無,1,964
10007180-003,彰化縣二水鄉過圳村,627,無,1,627
10007180-004,彰化縣二水鄉五伯村,640,無,1,640
10007180-006,彰化縣二水鄉文化村,982,無,1,982
10007180-005,彰化縣二水鄉光化村,938,無,1,938
10007180-008,彰化縣二水鄉聖化村,455,無,1,455
10007180-007,彰化縣二水鄉二水村,839,無,1,839
10007180-010,彰化縣二水鄉惠民村,846,無,1,846
10007180-009,彰化縣二水鄉裕民村,1001,無,1,1001
10007180-011,彰化縣二水鄉大園村,771,無,1,771
10007180-012,彰化縣二水鄉修仁村,773,無,1,773
10007180-013,彰化縣二水鄉合興村,690,無,1,690
10007180-014,彰化縣二水鄉源泉村,616,無,1,616
10007180-015,彰化縣二水鄉倡和村,578,無,1,578
10007190-012,彰化縣北斗鎮中寮里,2470,無,3,823
10007190-013,彰化縣北斗鎮大道里,1767,無,2,884
10007190-010,彰化縣北斗鎮西德里,4410,無,4,1103
10007190-011,彰化縣北斗鎮西安里,1581,無,2,791
10007190-001,彰化縣北斗鎮光復里,1638,無,2,819
10007190-002,彰化縣北斗鎮新政里,775,無,1,775
10007190-003,彰化縣北斗鎮重慶里,573,無,1,573
10007190-004,彰化縣北斗鎮五權里,670,無,1,670
10007190-005,彰化縣北斗鎮七星里,1415,無,2,708
10007190-006,彰化縣北斗鎮居仁里,1263,無,2,632
10007190-007,彰化縣北斗鎮東光里,2073,無,2,1037
10007190-008,彰化縣北斗鎮文昌里,2826,無,3,942
10007190-009,彰化縣北斗鎮中和里,1177,無,1,1177
10007190-014,彰化縣北斗鎮新生里,1903,無,2,952
10007190-015,彰化縣北斗鎮大新里,1698,無,2,849
10007200-012,彰化縣二林鎮豐田里,2390,無,3,797
10007200-001,彰化縣二林鎮東和里,2047,無,2,1024
10007200-002,彰化縣二林鎮南光里,3054,無,3,1018
10007200-003,彰化縣二林鎮西平里,1314,中國國民黨,1,1314
10007200-004,彰化縣二林鎮北平里,2878,無,3,959
10007200-005,彰化縣二林鎮中西里,1596,中國國民黨,2,798
10007200-006,彰化縣二林鎮廣興里,1339,無,1,1339
10007200-007,彰化縣二林鎮香田里,1041,無,1,1041
10007200-008,彰化縣二林鎮外竹里,1004,無,1,1004
10007200-009,彰化縣二林鎮興華里,1125,中國國民黨,1,1125
10007200-010,彰化縣二林鎮東興里,1494,無,1,1494
10007200-011,彰化縣二林鎮後厝里,2967,無,2,1484
10007200-013,彰化縣二林鎮頂厝里,1360,中國國民黨,1,1360
10007200-014,彰化縣二林鎮趙甲里,1548,中國國民黨,1,1548
10007200-015,彰化縣二林鎮振興里,1224,無,1,1224
10007200-016,彰化縣二林鎮萬興里,768,無,1,768
10007200-017,彰化縣二林鎮永興里,1476,無,2,738
10007200-018,彰化縣二林鎮西庄里,1272,無,1,1272
10007200-019,彰化縣二林鎮梅芳里,1072,無,1,1072
10007200-020,彰化縣二林鎮華崙里,3652,無,3,1217
10007200-022,彰化縣二林鎮萬合里,1150,無,1,1150
10007200-021,彰化縣二林鎮東勢里,962,無,1,962
10007200-023,彰化縣二林鎮大永里,921,中國國民黨,1,921
10007200-024,彰化縣二林鎮原斗里,1263,無,1,1263
10007200-025,彰化縣二林鎮西斗里,1065,無,1,1065
10007200-026,彰化縣二林鎮東華里,986,無,1,986
10007200-027,彰化縣二林鎮復豐里,710,無,1,710
10007210-001,彰化縣田尾鄉田尾村,1245,無,1,1245
10007210-012,彰化縣田尾鄉溪畔村,1173,無,1,1173
10007210-013,彰化縣田尾鄉打簾村,1682,無,2,841
10007210-020,彰化縣田尾鄉正義村,842,中國國民黨,1,842
10007210-011,彰化縣田尾鄉北曾村,1476,無,2,738
10007210-010,彰化縣田尾鄉南曾村,1269,無,1,1269
10007210-003,彰化縣田尾鄉饒平村,2327,中國國民黨,2,1164
10007210-002,彰化縣田尾鄉豐田村,686,無,1,686
10007210-017,彰化縣田尾鄉仁里村,1541,無,2,771
10007210-018,彰化縣田尾鄉新厝村,248,無,1,248
10007210-019,彰化縣田尾鄉溪頂村,626,無,1,626
10007210-014,彰化縣田尾鄉柳鳳村,904,無,1,904
10007210-015,彰化縣田尾鄉陸豐村,847,無,1,847
10007210-016,彰化縣田尾鄉海豐村,1406,無,2,703
10007210-004,彰化縣田尾鄉睦宜村,1057,無,1,1057
10007210-009,彰化縣田尾鄉新生村,1252,無,1,1252
10007210-007,彰化縣田尾鄉北鎮村,1088,無,1,1088
10007210-008,彰化縣田尾鄉南鎮村,603,無,1,603
10007210-005,彰化縣田尾鄉福田村,770,無,1,770
10007210-006,彰化縣田尾鄉新興村,1083,無,1,1083
10007220-001,彰化縣埤頭鄉和豊村,2364,無,2,1182
10007220-002,彰化縣埤頭鄉興農村,1661,無,2,831
10007220-003,彰化縣埤頭鄉埤頭村,1605,無,2,803
10007220-004,彰化縣埤頭鄉豊崙村,2265,無,2,1133
10007220-005,彰化縣埤頭鄉崙子村,1209,無,1,1209
10007220-006,彰化縣埤頭鄉永豊村,1537,無,2,769
10007220-007,彰化縣埤頭鄉合興村,3180,無,3,1060
10007220-008,彰化縣埤頭鄉平原村,1994,無,2,997
10007220-009,彰化縣埤頭鄉崙腳村,703,中國國民黨,1,703
10007220-010,彰化縣埤頭鄉元埔村,571,無,1,571
10007220-011,彰化縣埤頭鄉芙朝村,1515,無,2,758
10007220-012,彰化縣埤頭鄉新庄村,1053,無,1,1053
10007220-013,彰化縣埤頭鄉陸嘉村,774,無,1,774
10007220-014,彰化縣埤頭鄉竹圍村,1017,無,1,1017
10007220-015,彰化縣埤頭鄉中和村,1397,無,2,699
10007220-016,彰化縣埤頭鄉庄內村,1001,無,1,1001
10007220-017,彰化縣埤頭鄉大湖村,905,無,1,905
10007230-001,彰化縣芳苑鄉芳苑村,940,無,1,940
10007230-002,彰化縣芳苑鄉芳中村,413,無,1,413
10007230-003,彰化縣芳苑鄉仁愛村,750,無,1,750
10007230-004,彰化縣芳苑鄉信義村,564,無,1,564
10007230-005,彰化縣芳苑鄉後寮村,935,無,1,935
10007230-006,彰化縣芳苑鄉三合村,2067,無,2,1034
10007230-007,彰化縣芳苑鄉永興村,1364,無,2,682
10007230-014,彰化縣芳苑鄉新街村,834,無,1,834
10007230-009,彰化縣芳苑鄉路上村,682,中國國民黨,1,682
10007230-010,彰化縣芳苑鄉路平村,716,中國國民黨,1,716
10007230-011,彰化縣芳苑鄉三成村,994,無,1,994
10007230-012,彰化縣芳苑鄉福榮村,599,無,1,599
10007230-013,彰化縣芳苑鄉頂廍村,579,無,1,579
10007230-015,彰化縣芳苑鄉王功村,2075,無,2,1038
10007230-016,彰化縣芳苑鄉博愛村,678,無,1,678
10007230-017,彰化縣芳苑鄉和平村,766,無,1,766
10007230-019,彰化縣芳苑鄉興仁村,1275,無,2,638
10007230-018,彰化縣芳苑鄉民生村,664,無,1,664
10007230-020,彰化縣芳苑鄉新寶村,1587,無,2,794
10007230-008,彰化縣芳苑鄉五俊村,476,無,1,476
10007230-021,彰化縣芳苑鄉草湖村,1415,無,2,708
10007230-023,彰化縣芳苑鄉建平村,2077,無,2,1039
10007230-024,彰化縣芳苑鄉崙腳村,735,無,1,735
10007230-022,彰化縣芳苑鄉文津村,1013,無,1,1013
10007230-025,彰化縣芳苑鄉新生村,1334,無,2,667
10007230-026,彰化縣芳苑鄉漢寶村,3090,無,3,1030
10007240-007,彰化縣大城鄉山腳村,1276,無,1,1276
10007240-001,彰化縣大城鄉潭墘村,1117,無,1,1117
10007240-005,彰化縣大城鄉大城村,988,無,1,988
10007240-003,彰化縣大城鄉東城村,1295,無,1,1295
10007240-004,彰化縣大城鄉西城村,828,無,1,828
10007240-002,彰化縣大城鄉上山村,1100,無,2,550
10007240-008,彰化縣大城鄉永和村,699,中國國民黨,1,699
10007240-010,彰化縣大城鄉公館村,1059,中國國民黨,2,530
10007240-014,彰化縣大城鄉豐美村,886,無,1,886
10007240-015,彰化縣大城鄉三豐村,677,無,1,677
10007240-006,彰化縣大城鄉菜寮村,1058,中國國民黨,1,1058
10007240-012,彰化縣大城鄉東港村,1181,中國國民黨,1,1181
10007240-013,彰化縣大城鄉西港村,904,中國國民黨,1,904
10007240-009,彰化縣大城鄉頂庄村,693,無,1,693
10007240-011,彰化縣大城鄉臺西村,895,無,1,895
10007250-001,彰化縣竹塘鄉竹元村,1100,無,1,1100
10007250-002,彰化縣竹塘鄉竹塘村,1817,中國國民黨,2,909
10007250-003,彰化縣竹塘鄉小西村,762,無,1,762
10007250-004,彰化縣竹塘鄉民靖村,753,無,1,753
10007250-005,彰化縣竹塘鄉五庄村,1500,無,2,750
10007250-006,彰化縣竹塘鄉樹腳村,633,無,1,633
10007250-007,彰化縣竹塘鄉田頭村,1035,無,1,1035
10007250-008,彰化縣竹塘鄉新廣村,1132,無,1,1132
10007250-009,彰化縣竹塘鄉溪墘村,494,無,1,494
10007250-010,彰化縣竹塘鄉竹林村,799,無,1,799
10007250-011,彰化縣竹塘鄉土庫村,672,無,1,672
10007250-012,彰化縣竹塘鄉內新村,593,無,1,593
10007250-013,彰化縣竹塘鄉長安村,756,無,1,756
10007250-014,彰化縣竹塘鄉永安村,566,無,1,566
10007260-001,彰化縣溪州鄉溪厝村,1783,無,2,892
10007260-005,彰化縣溪州鄉坑厝村,691,無,1,691
10007260-008,彰化縣溪州鄉瓦厝村,870,無,1,870
10007260-011,彰化縣溪州鄉溪州村,1497,無,2,749
10007260-014,彰化縣溪州鄉尾厝村,1711,無,2,856
10007260-017,彰化縣溪州鄉東州村,1875,無,2,938
10007260-002,彰化縣溪州鄉舊眉村,1354,無,1,1354
10007260-006,彰化縣溪州鄉圳寮村,1463,無,2,732
10007260-009,彰化縣溪州鄉西畔村,2072,無,2,1036
10007260-003,彰化縣溪州鄉柑園村,1113,無,1,1113
10007260-012,彰化縣溪州鄉成功村,1807,無,2,904
10007260-015,彰化縣溪州鄉大庄村,1850,無,2,925
10007260-018,彰化縣溪州鄉榮光村,800,中國國民黨,1,800
10007260-007,彰化縣溪州鄉潮洋村,863,無,1,863
10007260-010,彰化縣溪州鄉張厝村,700,無,1,700
10007260-013,彰化縣溪州鄉菜公村,850,無,1,850
10007260-019,彰化縣溪州鄉三條村,865,無,1,865
10007260-016,彰化縣溪州鄉三圳村,1196,無,1,1196
10007260-004,彰化縣溪州鄉水尾村,1424,無,1,1424
10008010-001,南投縣南投市龍泉里,924,無,1,924
10008010-002,南投縣南投市康壽里,1398,無,2,699
10008010-003,南投縣南投市三民里,819,無,1,819
10008010-004,南投縣南投市仁和里,492,無,1,492
10008010-005,南投縣南投市南投里,593,無,1,593
10008010-006,南投縣南投市彰仁里,380,無,1,380
10008010-007,南投縣南投市崇文里,951,無,1,951
10008010-015,南投縣南投市三興里,5118,無,4,1280
10008010-016,南投縣南投市三和里,2782,無,3,927
10008010-017,南投縣南投市嘉興里,2033,無,2,1017
10008010-018,南投縣南投市嘉和里,4210,無,4,1053
10008010-012,南投縣南投市平和里,5945,無,6,991
10008010-013,南投縣南投市振興里,2017,無,3,672
10008010-014,南投縣南投市千秋里,981,無,1,981
10008010-010,南投縣南投市軍功里,4347,無,4,1087
10008010-011,南投縣南投市東山里,397,無,1,397
10008010-028,南投縣南投市營南里,2262,中國國民黨,2,1131
10008010-027,南投縣南投市營北里,5642,無,6,940
10008010-029,南投縣南投市內興里,6106,無,5,1221
10008010-030,南投縣南投市內新里,1390,無,2,695
10008010-034,南投縣南投市光輝里,510,無,1,510
10008010-032,南投縣南投市光榮里,1225,無,2,613
10008010-033,南投縣南投市光明里,1108,中國國民黨,1,1108
10008010-031,南投縣南投市光華里,933,中國國民黨,1,933
10008010-008,南投縣南投市漳興里,2537,無,2,1269
10008010-009,南投縣南投市漳和里,6754,中國國民黨,6,1126
10008010-023,南投縣南投市平山里,5107,無,4,1277
10008010-024,南投縣南投市新興里,4659,無,4,1165
10008010-025,南投縣南投市永豐里,2697,民主進步黨,2,1349
10008010-026,南投縣南投市福興里,2813,無,2,1407
10008010-022,南投縣南投市鳳山里,1117,無,1,1117
10008010-020,南投縣南投市永興里,753,無,1,753
10008010-021,南投縣南投市鳳鳴里,661,無,1,661
10008010-019,南投縣南投市福山里,1841,無,2,921
10008020-001,南投縣埔里鎮東門里,2680,無,3,893
10008020-031,南投縣埔里鎮杷城里,2545,無,2,1273
10008020-010,南投縣埔里鎮枇杷里,7116,無,6,1186
10008020-011,南投縣埔里鎮水頭里,3598,無,3,1199
10008020-012,南投縣埔里鎮麒麟里,1028,中國國民黨,1,1028
10008020-013,南投縣埔里鎮珠格里,1070,無,1,1070
10008020-014,南投縣埔里鎮溪南里,1069,無,1,1069
10008020-003,南投縣埔里鎮西門里,3054,無,3,1018
10008020-002,南投縣埔里鎮南門里,817,無,1,817
10008020-004,南投縣埔里鎮北門里,2417,中國國民黨,2,1209
10008020-030,南投縣埔里鎮北安里,3105,中國國民黨,3,1035
10008020-032,南投縣埔里鎮北梅里,2995,無,3,998
10008020-033,南投縣埔里鎮泰安里,2108,無,2,1054
10008020-027,南投縣埔里鎮大湳里,1483,無,2,742
10008020-028,南投縣埔里鎮蜈蚣里,2567,無,3,856
10008020-005,南投縣埔里鎮同聲里,2208,中國國民黨,2,1104
10008020-007,南投縣埔里鎮清新里,3560,無,3,1187
10008020-006,南投縣埔里鎮薰化里,1058,中國國民黨,1,1058
10008020-008,南投縣埔里鎮大城里,5617,中國國民黨,6,936
10008020-009,南投縣埔里鎮籃城里,927,民主進步黨,1,927
10008020-015,南投縣埔里鎮桃米里,1013,無,1,1013
10008020-016,南投縣埔里鎮成功里,326,無,1,326
10008020-017,南投縣埔里鎮南村里,1303,無,1,1303
10008020-018,南投縣埔里鎮愛蘭里,1393,無,2,697
10008020-019,南投縣埔里鎮鐵山里,1623,中國國民黨,2,812
10008020-020,南投縣埔里鎮房里里,1288,無,2,644
10008020-021,南投縣埔里鎮向善里,632,中國國民黨,1,632
10008020-022,南投縣埔里鎮一新里,1005,中國國民黨,1,1005
10008020-029,南投縣埔里鎮合成里,1567,無,2,784
10008020-023,南投縣埔里鎮廣成里,1133,無,1,1133
10008020-024,南投縣埔里鎮史港里,600,無,1,600
10008020-025,南投縣埔里鎮福興里,978,無,1,978
10008020-026,南投縣埔里鎮牛眠里,2743,無,3,914
10008030-001,南投縣草屯鎮玉峰里,2119,無,2,1060
10008030-026,南投縣草屯鎮明正里,3741,無,3,1247
10008030-002,南投縣草屯鎮炎峰里,2065,無,2,1033
10008030-024,南投縣草屯鎮中正里,668,無,1,668
10008030-003,南投縣草屯鎮和平里,1159,無,1,1159
10008030-025,南投縣草屯鎮中山里,2247,無,2,1124
10008030-004,南投縣草屯鎮敦和里,6219,無,5,1244
10008030-005,南投縣草屯鎮山腳里,7128,無,6,1188
10008030-027,南投縣草屯鎮新厝里,2976,中國國民黨,3,992
10008030-012,南投縣草屯鎮上林里,2970,無,3,990
10008030-009,南投縣草屯鎮碧峰里,4172,無,4,1043
10008030-010,南投縣草屯鎮碧洲里,2238,無,2,1119
10008030-011,南投縣草屯鎮復興里,2847,無,3,949
10008030-007,南投縣草屯鎮御史里,5880,無,5,1176
10008030-008,南投縣草屯鎮新豐里,3863,無,4,966
10008030-013,南投縣草屯鎮新庄里,3359,無,3,1120
10008030-016,南投縣草屯鎮加老里,2173,無,2,1087
10008030-015,南投縣草屯鎮石川里,1476,無,1,1476
10008030-014,南投縣草屯鎮北投里,2736,無,2,1368
10008030-006,南投縣草屯鎮富寮里,6036,無,5,1207
10008030-017,南投縣草屯鎮北勢里,1924,無,3,641
10008030-018,南投縣草屯鎮中原里,1999,無,2,1000
10008030-019,南投縣草屯鎮南埔里,3968,無,4,992
10008030-021,南投縣草屯鎮坪頂里,1008,無,1,1008
10008030-020,南投縣草屯鎮土城里,1622,無,2,811
10008030-023,南投縣草屯鎮平林里,1065,無,1,1065
10008030-022,南投縣草屯鎮雙冬里,2229,無,2,1115
10008040-001,南投縣竹山鎮竹山里,2008,無,2,1004
10008040-002,南投縣竹山鎮中正里,622,無,1,622
10008040-003,南投縣竹山鎮中山里,4427,無,4,1107
10008040-004,南投縣竹山鎮雲林里,3456,無,3,1152
10008040-028,南投縣竹山鎮竹圍里,2344,無,2,1172
10008040-007,南投縣竹山鎮桂林里,3592,無,3,1197
10008040-006,南投縣竹山鎮下坪里,1157,無,2,579
10008040-008,南投縣竹山鎮中和里,958,無,1,958
10008040-009,南投縣竹山鎮中崎里,1328,無,1,1328
10008040-026,南投縣竹山鎮秀林里,689,無,2,345
10008040-019,南投縣竹山鎮大鞍里,420,中國國民黨,1,420
10008040-014,南投縣竹山鎮延和里,4713,無,4,1178
10008040-027,南投縣竹山鎮延祥里,3511,無,3,1170
10008040-012,南投縣竹山鎮延正里,1656,無,2,828
10008040-011,南投縣竹山鎮延平里,2865,無,3,955
10008040-013,南投縣竹山鎮延山里,847,無,1,847
10008040-015,南投縣竹山鎮山崇里,1820,無,2,910
10008040-016,南投縣竹山鎮社寮里,1229,無,1,1229
10008040-017,南投縣竹山鎮中央里,1241,無,1,1241
10008040-018,南投縣竹山鎮富州里,625,無,1,625
10008040-020,南投縣竹山鎮田子里,602,無,1,602
10008040-005,南投縣竹山鎮硘磘里,1668,無,2,834
10008040-010,南投縣竹山鎮德興里,890,無,2,445
10008040-021,南投縣竹山鎮福興里,563,無,2,282
10008040-022,南投縣竹山鎮鯉魚里,851,無,2,426
10008040-024,南投縣竹山鎮坪頂里,441,無,1,441
10008040-023,南投縣竹山鎮瑞竹里,599,無,1,599
10008040-025,南投縣竹山鎮桶頭里,911,無,2,456
10008050-001,南投縣集集鎮集集里,1030,中國國民黨,1,1030
10008050-002,南投縣集集鎮和平里,895,無,1,895
10008050-003,南投縣集集鎮林尾里,554,無,1,554
10008050-004,南投縣集集鎮田寮里,1165,無,1,1165
10008050-005,南投縣集集鎮隘寮里,523,無,1,523
10008050-006,南投縣集集鎮玉映里,504,中國國民黨,1,504
10008050-007,南投縣集集鎮吳厝里,906,中國國民黨,1,906
10008050-008,南投縣集集鎮八張里,1424,無,2,712
10008050-009,南投縣集集鎮永昌里,937,無,1,937
10008050-011,南投縣集集鎮廣明里,928,中國國民黨,2,464
10008050-010,南投縣集集鎮富山里,576,無,1,576
10008060-001,南投縣名間鄉南雅村,1022,無,1,1022
10008060-002,南投縣名間鄉中正村,3281,無,4,820
10008060-003,南投縣名間鄉中山村,2203,無,2,1102
10008060-004,南投縣名間鄉濁水村,1549,無,2,775
10008060-006,南投縣名間鄉新民村,957,無,1,957
10008060-005,南投縣名間鄉炭寮村,990,無,1,990
10008060-007,南投縣名間鄉新街村,4091,無,4,1023
10008060-008,南投縣名間鄉東湖村,1588,無,2,794
10008060-023,南投縣名間鄉仁和村,881,無,1,881
10008060-009,南投縣名間鄉萬丹村,947,無,1,947
10008060-010,南投縣名間鄉田仔村,1248,無,1,1248
10008060-013,南投縣名間鄉大坑村,747,無,1,747
10008060-011,南投縣名間鄉大庄村,1814,無,2,907
10008060-012,南投縣名間鄉廍下村,894,無,1,894
10008060-015,南投縣名間鄉赤水村,1207,無,2,604
10008060-014,南投縣名間鄉竹圍村,924,無,1,924
10008060-016,南投縣名間鄉三崙村,1525,無,2,763
10008060-017,南投縣名間鄉松山村,1523,無,2,762
10008060-018,南投縣名間鄉松柏村,1142,無,1,1142
10008060-020,南投縣名間鄉崁腳村,857,無,1,857
10008060-019,南投縣名間鄉埔中村,865,無,1,865
10008060-021,南投縣名間鄉新厝村,786,無,1,786
10008060-022,南投縣名間鄉新光村,1709,無,2,855
10008070-001,南投縣鹿谷鄉鹿谷村,1821,中國國民黨,2,911
10008070-003,南投縣鹿谷鄉彰雅村,1239,無,2,620
10008070-004,南投縣鹿谷鄉廣興村,1909,無,2,955
10008070-010,南投縣鹿谷鄉永隆村,1593,無,2,797
10008070-009,南投縣鹿谷鄉鳳凰村,1374,無,2,687
10008070-005,南投縣鹿谷鄉內湖村,1026,無,2,513
10008070-008,南投縣鹿谷鄉和雅村,598,中國國民黨,1,598
10008070-006,南投縣鹿谷鄉竹林村,1514,中國國民黨,2,757
10008070-007,南投縣鹿谷鄉竹豐村,917,無,1,917
10008070-002,南投縣鹿谷鄉初鄉村,1462,無,2,731
10008070-011,南投縣鹿谷鄉秀峰村,819,中國國民黨,1,819
10008070-012,南投縣鹿谷鄉清水村,719,無,1,719
10008070-013,南投縣鹿谷鄉瑞田村,723,無,1,723
10008080-001,南投縣中寮鄉廣興村,816,無,1,816
10008080-002,南投縣中寮鄉崁頂村,482,中國國民黨,2,241
10008080-003,南投縣中寮鄉八仙村,774,無,2,387
10008080-005,南投縣中寮鄉福盛村,730,中國國民黨,2,365
10008080-004,南投縣中寮鄉和興村,659,無,1,659
10008080-007,南投縣中寮鄉復興村,289,無,1,289
10008080-006,南投縣中寮鄉永平村,1711,無,2,856
10008080-008,南投縣中寮鄉中寮村,663,中國國民黨,1,663
10008080-009,南投縣中寮鄉廣福村,504,無,1,504
10008080-010,南投縣中寮鄉永福村,1288,無,2,644
10008080-011,南投縣中寮鄉義和村,1018,無,2,509
10008080-012,南投縣中寮鄉清水村,849,無,1,849
10008080-016,南投縣中寮鄉內城村,456,無,1,456
10008080-013,南投縣中寮鄉龍安村,692,無,1,692
10008080-018,南投縣中寮鄉爽文村,475,無,1,475
10008080-014,南投縣中寮鄉龍岩村,633,無,1,633
10008080-017,南投縣中寮鄉永芳村,456,無,1,456
